id;start_date;end_date;language
1;2024-01-09T07:50:18;2024-01-09T00:50:18;SPANISH
2;2024-01-09T01:32:56;2024-01-08T19:16:44;ENGLISH
3;2024-01-09T11:57:50;2024-01-08T16:14:20;SPANISH
4;2024-01-09T12:12:08;2024-01-08T13:53:57;SPANISH
5;2024-01-09T09:29:48;2024-01-09T02:04:33;ENGLISH
6;2024-01-09T09:39:03;2024-01-09T03:39:16;SPANISH
7;2024-01-08T15:01:32;2024-01-09T03:17:13;FRENCH
8;2024-01-08T17:50:48;2024-01-09T02:27:46;SPANISH
9;2024-01-08T20:48:44;2024-01-08T13:17:02;FRENCH
10;2024-01-08T20:55:41;2024-01-09T09:36:01;ENGLISH
