id;street_address;postal_code;city;state_province
1;vice canvass dense;however beautifully automation;Montesano nell'emilia;drat roam
2;stealthily which;however trick;Maretto;out
3;fooey ouch;crazy ew eventually;Sesto Floridia calabro;in inborn
4;lawful cartwheel choice;astride;Montescudaio;whenever wonderfully
5;ew;mechanically arrogantly notwithstanding;Settimo Ulfo;boohoo hybridize
6;aha;inauguration;Settimo Adalardo;indolent psst taxi
7;packet demoralize wake;spirit;Borgo Egidio;sigh questionably keenly
8;along blowhole;as what;Quarto Norma;schtup
9;hm unfortunately;skeletal;Borgo Rolfo veneto;tender gadzooks apud
10;primp nonconformist bah;mmm deputize;Quarto Ione;pushy
